Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: _           _ _     _ _    _ _                                _
Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: | |         (_) |   | | |  (_) |                              | |
Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: | |__  _   _ _| | __| | | ___| |_ ___    __ _  __ _  ___ _ __ | |_
Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: | '_ \| | | | | |/ _` | |/ / | __/ _ \  / _` |/ _` |/ _ \ '_ \| __|
Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: | |_) | |_| | | | (_| |   <| | ||  __/ | (_| | (_| |  __/ | | | |_
Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: |_.__/ \__,_|_|_|\__,_|_|\_\_|\__\___|  \__,_|\__, |\___|_| |_|\__|
Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: __/ |
Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: https://buildkite.com/agent                    |___/
Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:11:13 NOTICE Starting buildkite-agent v3.43.1 with PID: 20806
Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:11:13 NOTICE The agent source code can be found here: https://github.com/buildkite/agent
Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:11:13 NOTICE For questions and support, email us at: hello@buildkite.com
Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:11:13 INFO   Configuration loaded path=/etc/buildkite-agent/buildkite-agent.cfg
Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:11:13 INFO   Agents will disconnect after 1800 seconds of inactivity
Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:11:13 INFO   Fetching EC2 meta-data...
Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:11:13 INFO   Successfully fetched EC2 meta-data
Jun 26 04:11:13 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:11:13 INFO   Registering agent with Buildkite...
Jun 26 04:11:14 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:11:14 INFO   Successfully registered agent "prod-us-west-2-buildkite-ci-agents-i-02db844904a309c4f-1" with tags [queue=prod-us-west-2-default, docker=20.10.17, stack=prod-us-west-2-buildkite-ci-agents, buildkite-aws-stack=v5.16.1, os=linux, account_alias=rokt-prod, aws:instance-id=i-02db844904a309c4f, aws:instance-type=t3a.large, aws:ami-id=ami-094344b10269982e8, aws:instance-life-cycle=on-demand]
Jun 26 04:11:14 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:11:14 INFO   Starting 1 Agent(s)
Jun 26 04:11:14 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:11:14 INFO   You can press Ctrl-C to stop the agents
Jun 26 04:11:14 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:11:14 INFO   prod-us-west-2-buildkite-ci-agents-i-02db844904a309c4f-1 Connecting to Buildkite...
Jun 26 04:11:14 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:11:14 INFO   prod-us-west-2-buildkite-ci-agents-i-02db844904a309c4f-1 Waiting for work...
Jun 26 04:34:04 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:34:04 INFO   prod-us-west-2-buildkite-ci-agents-i-02db844904a309c4f-1 Assigned job 0188f5fa-e5de-4226-8b0e-1c2add981ccf. Accepting...
Jun 26 04:34:04 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:34:04 INFO   prod-us-west-2-buildkite-ci-agents-i-02db844904a309c4f-1 Starting job 0188f5fa-e5de-4226-8b0e-1c2add981ccf
Jun 26 04:34:04 ip-10-20-171-181 buildkite-agent: 2023-06-26 04:34:04 INFO   prod-us-west-2-buildkite-ci-agents-i-02db844904a309c4f-1 [Process] Process is running with PID: 23769
Jun 26 05:08:46 ip-10-20-171-181 buildkite-agent: 2023-06-26 05:08:46 INFO   prod-us-west-2-buildkite-ci-agents-i-02db844904a309c4f-1 Process with PID: 23769 finished with Exit Status: 0, Signal: nil
Jun 26 05:08:47 ip-10-20-171-181 buildkite-agent: 2023-06-26 05:08:47 INFO   prod-us-west-2-buildkite-ci-agents-i-02db844904a309c4f-1 Finished job 0188f5fa-e5de-4226-8b0e-1c2add981ccf
Jun 26 05:08:57 ip-10-20-171-181 buildkite-agent: 2023-06-26 05:08:57 INFO   prod-us-west-2-buildkite-ci-agents-i-02db844904a309c4f-1 Assigned job 0188f61a-be89-433e-972e-564e028b3666. Accepting...
